"Anio";"Periodo";"Personas_en_paro"
"2002";"Trimestre 1";"2152.8"
"2002";"Trimestre 2";"2103.3"
"2002";"Trimestre 3";"2195.9"
"2002";"Trimestre 4";"2232.5"
"2003";"Trimestre 1";"2328.5"
"2003";"Trimestre 2";"2215.8"
"2003";"Trimestre 3";"2247.4"
"2003";"Trimestre 4";"2276.6"
"2004";"Trimestre 1";"2309.7"
"2004";"Trimestre 2";"2247.7"
"2004";"Trimestre 3";"2199.9"
"2004";"Trimestre 4";"2176.8"
"2005";"Trimestre 1";"2121.3"
"2005";"Trimestre 2";"1969.2"
"2005";"Trimestre 3";"1783.6"
"2005";"Trimestre 4";"1860.1"
"2006";"Trimestre 1";"1942.9"
"2006";"Trimestre 2";"1834.5"
"2006";"Trimestre 3";"1766.8"
"2006";"Trimestre 4";"1819.5"
"2007";"Trimestre 1";"1863.2"
"2007";"Trimestre 2";"1773.3"
"2007";"Trimestre 3";"1806.1"
"2007";"Trimestre 4";"1942"
"2008";"Trimestre 1";"2190.5"
"2008";"Trimestre 2";"2385.6"
"2008";"Trimestre 3";"2600.8"
"2008";"Trimestre 4";"3206.8"
"2009";"Trimestre 1";"4018.2"
"2009";"Trimestre 2";"4139.6"
"2009";"Trimestre 3";"4121.2"
"2009";"Trimestre 4";"4335"
"2010";"Trimestre 1";"4617.7"
"2010";"Trimestre 2";"4655.4"
"2010";"Trimestre 3";"4585.4"
"2010";"Trimestre 4";"4702.2"
"2011";"Trimestre 1";"4920.9"
"2011";"Trimestre 2";"4844.3"
"2011";"Trimestre 3";"4998.1"
"2011";"Trimestre 4";"5287.3"
"2012";"Trimestre 1";"5667.8"
"2012";"Trimestre 2";"5731.1"
"2012";"Trimestre 3";"5824.3"
"2012";"Trimestre 4";"6021"
"2013";"Trimestre 1";"6278.3"
"2013";"Trimestre 2";"6047.3"
"2013";"Trimestre 3";"5943.4"
"2013";"Trimestre 4";"5935.6"
"2014";"Trimestre 1";"5933.2"
"2014";"Trimestre 2";"5622.7"
"2014";"Trimestre 3";"5427.7"
"2014";"Trimestre 4";"5457.8"
"2015";"Trimestre 1";"5444.8"
"2015";"Trimestre 2";"5149.1"
"2015";"Trimestre 3";"4850.8"
"2015";"Trimestre 4";"4779.6"
"2016";"Trimestre 1";"4791.4"
"2016";"Trimestre 2";"4574.7"
"2016";"Trimestre 3";"4320.8"
"2016";"Trimestre 4";"4237.6"
"2017";"Trimestre 1";"4255.1"
"2017";"Trimestre 2";"3914.3"
"2017";"Trimestre 3";"3731.7"
"2017";"Trimestre 4";"3766.7"
"2018";"Trimestre 1";"3795.9"
"2018";"Trimestre 2";"3490.1"
"2018";"Trimestre 3";"3325.9"
"2018";"Trimestre 4";"3304.1"
"2019";"Trimestre 1";"3354.3"
"2019";"Trimestre 2";"3230.7"
"2019";"Trimestre 3";"3214.5"
"2019";"Trimestre 4";"3191.8"
"2020";"Trimestre 1";"3312.9"
"2020";"Trimestre 2";"3368"
"2020";"Trimestre 3";"3722.9"
"2020";"Trimestre 4";"3719.8"
"2021";"Trimestre 1";"3653.9"
"2021";"Trimestre 2";"3543.9"
"2021";"Trimestre 3";"3416.8"
"2021";"Trimestre 4";"3103.9"
"2022";"Trimestre 1";"3174.7"
