Año,Periodo,Ocasionalmente,Más de la mitad de los días que trabajó,Ningún día,No sabe
2006,Año,2.2,3,94.2,0.6
2007,Año,2.5,2.7,94.2,0.6
2008,Año,2.4,3.1,94,0.5
2009,Año,2.6,3.3,93.5,0.6
2010,Año,2.4,3.8,93.2,0.6
2011,Año,2.7,4,92.6,0.7
2012,Año,2.8,4.5,91.8,0.9
2013,Año,3.2,4.3,91.6,1
2014,Año,2.6,4.3,92.2,1
2015,Año,2.9,3.6,92.7,0.8
2016,Año,2.9,3.5,92.8,0.8
2017,Año,3,4.3,91.8,1
2018,Año,3.2,4.3,91.5,1
2019,Año,3.5,4.8,90.7,1
2020,Año,2.9,16.2,78.6,2.3
,,,,,
,,,,,
"Métrica:""Ocasionalmente""",,,,,
"Fuente:""INE""",,,,,
"Clasificación:""""",,,,,
"Unidad:""%""",,,,,
"Escala:""Unidades""",,,,,
"EscalaFactorPotencia10:""0""",,,,,
"SonDatosNumericos:""True""",,,,,
,,,,,
,,,,,
"Métrica:""Más de la mitad de los días que trabajó""",,,,,
"Fuente:""INE""",,,,,
"Clasificación:""""",,,,,
"Unidad:""%""",,,,,
"Escala:""Unidades""",,,,,
"EscalaFactorPotencia10:""0""",,,,,
"SonDatosNumericos:""True""",,,,,
,,,,,
,,,,,
"Métrica:""Ningún día""",,,,,
"Fuente:""INE""",,,,,
"Clasificación:""""",,,,,
"Unidad:""%""",,,,,
"Escala:""Unidades""",,,,,
"EscalaFactorPotencia10:""0""",,,,,
"SonDatosNumericos:""True""",,,,,
,,,,,
,,,,,
"Métrica:""No sabe""",,,,,
"Fuente:""INE""",,,,,
"Clasificación:""""",,,,,
"Unidad:""%""",,,,,
"Escala:""Unidades""",,,,,
"EscalaFactorPotencia10:""0""",,,,,
"SonDatosNumericos:""True""",,,,,
,,,,,
,,,,,
"Url:""https://www.epdata.es/ocupados-frecuencia-realizar-teletrabajo-espana/8c35a8f1-a712-4da6-b3e5-dbe627c625c5""",,,,,
"Titulo:""Ocupados según la frecuencia de realizar teletrabajo en España""",,,,,
"Subtitulo:""""",,,,,
